Name,Muscle Group,Equipment,Title,Video URL
Bench Press (Dumbbell),Chest,Dumbbell,Bench Press (Dumbbell)- How to Instruction and Similar Exercises, https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02891201-Dumbbell-Bench-Press_Chest.mp4
Chest Dip (Weighted),Chest,None,Chest Dip (Weighted) – The Benefits and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00091201-Assisted-Chest-Dip-(kneeling)_Chest.mp4
Chest Dip (Weighted),Chest,None,Chest Dip (Weighted) – The Benefits and Mistakes to Avoid, https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12691201-Cable-Standing-Up-Straight-Crossovers_Chest.mp4
Incline Push Ups,Chest,None,Incline Push Ups – How to Instructions and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/37851201-Incline-Push-Up-(on-box).mp4
Floor Press (Barbell),Chest,Barbell,Floor Press (Barbell)- How to Instructions and the Benefits, https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05771201-Lever-Chest-Press_Chest.mp4
Bench Press - Wide Grip (Barbell),Chest,Barbell,Wide Grip Bench Press – Learn the Benefits and Proper Form, https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01221201-Barbell-Wide-Bench-Press_Chest.mp4
Bench Press - Wide Grip (Barbell),Chest,Barbell,Wide Grip Bench Press – Learn the Benefits and Proper Form,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05771201-Lever-Chest-Press_Chest.mp4
Around The World,Chest,Dumbbell,Around The Worlds – Learn Proper Form and Common Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02881201-Dumbbell-Around-Pullover_Chest.mp4
Around The World,Chest,Dumbbell,Around The Worlds – Learn Proper Form and Common Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03081201-Dumbbell-Fly_Chest.mp4
Push Up (Weighted),Chest,None,Weighted Push Ups – 3 Exceptional Benefits and Common Mistakes,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/11721201-Assisted-Weighted-Push-up_Chest.mp4
Pullover (Dumbbell),Chest,Dumbbell,Dumbbell Pullover – Advice on Proper Form and 3 Variations,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03751201-Dumbbell-Pullover_Chest.mp4
Decline Bench Press (Dumbbell),Chest,Dumbbell,"Decline Bench Press (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00331201-Barbell-Decline-Bench-Press_Chest.mp4
